year,num_stars,num_planets,num_habitable_planets,num_life,num_complex_life,num_intelligent_life,num_cultural_life,N,N_extinct
5369000000,90529558043.36983,36211823217.347885,29745226795.923473,24893740749.271183,14204331280.70427,6932884161.274791,430989946.04634356,62366685.14974741,118536570868.25653
5370000000,90532188932.14539,36212875572.85811,29748460094.134186,24898040401.770393,14207608012.278715,6934555831.65088,431093926.19526833,62381738.38827411,118598937553.40628
5371000000,90534818521.99138,36213927408.7965,29751692301.873547,24902338909.52305,14210884066.658995,6936227170.593907,431197885.73957765,62396788.64511062,118661319291.79456
5372000000,90537446813.5842,36214978725.433624,29754923419.42701,24906636272.605362,14214159443.730106,6937898178.032903,431301824.6748475,62411835.919615395,118723716080.43967
5373000000,90540073807.59981,36216029523.03987,29758153447.080013,24910932491.093754,14217434143.377296,6939568853.897027,431405742.99666196,62426880.21114806,118786127916.35928
5374000000,90542699504.71378,36217079801.88546,29761382385.117992,24915227565.064854,14220708165.48606,6941239198.115577,431509640.7006136,62441921.51906944,118848554796.57043
5375000000,90545323905.60121,36218129562.24044,29764610233.826378,24919521494.59549,14223981509.942139,6942909210.617981,431613517.7823032,62456959.84274157,118910996718.08951
5376000000,90547947010.93684,36219178804.374695,29767836993.490585,24923814279.7627,14227254176.631527,6944578891.333803,431717374.2373399,62471995.18152773,118973453677.93225
5377000000,90550568821.39494,36220227528.55794,29771062664.396027,24928105920.643723,14230526165.440466,6946248240.1927395,431821210.06134117,62487027.53479226,119035925673.11378
5378000000,90553189337.6494,36221275735.059715,29774287246.828106,24932396417.31601,14233797476.25545,6947917257.124618,431925025.2499326,62502056.901900925,119098412700.64857
5379000000,90555808560.37364,36222323424.149414,29777510741.07222,24936685769.857216,14237068108.963213,6949585942.059401,432028819.7987482,62517083.282220475,119160914757.55048
5380000000,90558426490.2407,36223370596.09624,29780733147.413757,24940973978.345196,14240338063.450745,6951254294.927183,432132593.70343024,62532106.67511898,119223431840.8327
5381000000,90561043127.9232,36224417251.169235,29783954466.1381,24945261042.858013,14243607339.60528,6952922315.658193,432236346.9596293,62547127.07996569,119285963947.50783
5382000000,90563658474.09332,36225463389.63728,29787174697.530617,24949546963.473934,14246875937.3143,6954590004.182791,432340079.56300396,62562144.496131,119348511074.5878
5383000000,90566272529.42284,36226509011.76909,29790393841.87667,24953831740.271427,14250143856.46554,6956257360.431471,432443791.5092215,62577158.92298657,119411073219.08392
5384000000,90568885294.58308,36227554117.83319,29793611899.461617,24958115373.32917,14253411096.946976,6957924384.334858,432547482.79395705,62592170.35990521,119473650378.00691
5385000000,90571496770.24501,36228598708.09796,29796828870.5708,24962397862.726036,14256677658.646833,6959591075.823711,432651153.41289425,62607178.806260966,119536242548.36682
5386000000,90574106957.07913,36229642782.83161,29800044755.489563,24966679208.54111,14259943541.453587,6961257434.828922,432754803.36172485,62622184.26142899,119598849727.17308
5387000000,90576715855.75555,36230686342.30218,29803259554.503235,24970959410.853676,14263208745.255957,6962923461.281513,432858432.63614887,62637186.724785745,119661471911.43451
5388000000,90579323466.94395,36231729386.777534,29806473267.897133,24975238469.74322,14266473269.94291,6964589155.112641,432962041.2318746,62652186.19570881,119724109098.1593
5389000000,90581929791.31358,36232771916.52539,29809685895.956573,24979516385.289436,14269737115.40366,6966254516.253593,433065629.1446185,62667182.67357698,119786761284.35501
5390000000,90584534829.53331,36233813931.81328,29812897438.966858,24983793157.572212,14273000281.527666,6967919544.63579,433169196.3701053,62682176.15777021,119849428467.0286
5391000000,90587138582.27155,36234855432.90858,29816107897.21328,24988068786.671646,14276262768.204638,6969584240.190782,433272742.904068,62697166.6476697,119912110643.18637
5392000000,90589741050.19632,36235896420.07848,29819317270.98113,24992343272.668037,14279524575.32453,6971248602.850254,433376268.7422476,62712154.14265782,119974807809.83405
